	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	ed1	strat2	strat3	strat4	strat5	strat6	strat7	strat8
								
m0014	0.03	-0.01	0.02	-0.01	0.01	-0.05	0.01	-0.03
	(0.04)	(0.02)	(0.04)	(0.02)	(0.03)	(0.04)	(0.02)	(0.06)
m1519	0.10	0.07	0.11	0.10	0.06	0.09	0.09	0.04
	(0.05)	(0.02)	(0.04)	(0.02)	(0.03)	(0.05)	(0.02)	(0.05)
m2034	0.11	0.14	0.09	0.16	0.11	0.16	0.15	0.07
	(0.05)	(0.02)	(0.04)	(0.02)	(0.03)	(0.04)	(0.02)	(0.06)
m3549	0.08	0.16	0.20	0.24	0.10	0.34	0.16	0.11
	(0.09)	(0.04)	(0.06)	(0.04)	(0.05)	(0.07)	(0.03)	(0.11)
m5064	0.11	0.22	0.31	0.29	0.15	0.33	0.21	0.14
	(0.10)	(0.04)	(0.07)	(0.05)	(0.05)	(0.09)	(0.04)	(0.10)
mge65	0.22	0.20	0.21	0.27	0.11	0.30	0.21	0.03
	(0.12)	(0.04)	(0.08)	(0.05)	(0.05)	(0.10)	(0.04)	(0.11)
f0014	-0.08	-0.06	0.04	-0.04	-0.03	-0.05	-0.03	-0.05
	(0.05)	(0.02)	(0.04)	(0.02)	(0.03)	(0.05)	(0.02)	(0.06)
f1519	0.12	-0.02	-0.04	0.01	-0.04	-0.09	0.00	-0.03
	(0.05)	(0.02)	(0.04)	(0.02)	(0.02)	(0.05)	(0.02)	(0.05)
f2034	0.12	0.05	0.04	0.07	0.06	0.09	0.06	0.05
	(0.06)	(0.02)	(0.05)	(0.03)	(0.03)	(0.05)	(0.02)	(0.06)
f3549	0.24	0.13	0.26	0.17	0.14	0.18	0.16	0.15
	(0.08)	(0.03)	(0.06)	(0.03)	(0.04)	(0.06)	(0.03)	(0.09)
f5064	0.16	0.10	0.22	0.14	0.10	0.06	0.15	0.09
	(0.09)	(0.03)	(0.06)	(0.04)	(0.04)	(0.07)	(0.03)	(0.09)
fge65	0.14	0.00	0.10	0.09	-0.00	0.05	0.06	0.06
	(0.10)	(0.03)	(0.06)	(0.04)	(0.04)	(0.07)	(0.03)	(0.08)
Constant	3.80	2.70	3.07	2.99	2.76	2.69	2.91	2.96
	(0.39)	(0.17)	(0.29)	(0.17)	(0.21)	(0.38)	(0.15)	(0.44)
								
F-dems	2.495	9.115	4.515	10.15	4.165	4.186	10.55	0.758
pval	0.00338	0	4.57e-07	0	1.71e-06	2.37e-06	0	0.694
n_obs	5575	25417	7197	19179	19010	5862	26616	5711
Robust standard errors in parentheses								
